imdb_title_id,genre
tt0018937,"Action, Adventure, Comedy"
tt0018972,"Drama, Romance, Thriller"
tt0018990,"Drama, Romance, War"
tt0018996,Sci-Fi
tt0019043,Drama
tt0019067,"Comedy, Drama, Romance"
tt0019071,"Drama, History, Romance"
tt0019074,Drama
tt0019096,"Crime, Drama, Music"
tt0019098,"Drama, Romance, War"
tt0019109,"Comedy, Drama, Romance"
tt0019127,Drama
tt0019130,"Drama, Horror, Mystery"
tt0019151,"Comedy, Romance"
tt0019152,Drama
tt0019182,Drama
tt0019186,Drama
tt0019195,"Drama, Romance"
tt0019237,Drama
tt0019254,"Biography, Drama, History"
tt0019258,"Comedy, Drama, Romance"
tt0019286,"Drama, War"
tt0019290,Drama
tt0019304,"Crime, Drama, Film-Noir"
tt0019312,"Drama, Romance"
tt0019325,"Comedy, Drama"
tt0019335,Drama
tt0019344,Drama
tt0019374,"Drama, History, Romance"
tt0019379,"Comedy, Romance"
tt0019388,"Musical, Drama"
tt0019400,"Comedy, Romance, Sport"
tt0019412,"Action, Comedy, Family"
tt0019415,"Romance, Thriller"
tt0019421,"Action, Comedy, Drama"
tt0019429,Drama
tt0019434,"Action, Adventure, Drama"
tt0019451,"Drama, Romance"
tt0019462,"Comedy, Drama, Romance"
tt0019480,Comedy
tt0019489,"Action, Adventure, Drama"
tt0019509,"Drama, Romance"
tt0019532,"Action, Adventure, History"
tt0019553,Drama
tt0019557,"Drama, Romance"
tt0019558,Drama
tt0019563,"Drama, Mystery"
tt0019571,"Crime, Drama"
tt0019574,"Drama, Romance"
tt0019585,"Drama, Romance, Thriller"
tt0019591,Drama
tt0019609,Drama
tt0019611,"Drama, Fantasy"
tt0019629,Drama
tt0019630,Crime
tt0019644,"Drama, Musical"
tt0019646,"Drama, Romance"
tt0019649,"Drama, War"
tt0019655,"Crime, Drama, Romance"
tt0019658,Drama
tt0019684,Mystery
tt0019690,"Comedy, Crime, Mystery"
tt0019699,"Adventure, Drama"
tt0019702,"Crime, Thriller"
tt0019725,"Crime, Music, Romance"
tt0019726,"Drama, Musical"
tt0019729,"Drama, Musical, Romance"
tt0019735,"Drama, Mystery, Thriller"
tt0019745,"Crime, Drama, Mystery"
tt0019746,"Adventure, Drama"
tt0019777,"Comedy, Musical"
tt0019785,Drama
tt0019788,"Drama, Romance"
tt0019796,Comedy
tt0019798,"Drama, Musical, Romance"
tt0019800,Drama
tt0019811,"Adventure, Drama, Romance"
tt0019815,"Music, Romance, War"
tt0019823,"Biography, Drama, History"
tt0019824,"Drama, History, Romance"
tt0019839,"Comedy, Drama, Romance"
tt0019843,Drama
tt0019850,"Drama, Romance"
tt0019852,"Drama, Romance"
tt0019856,Drama
tt0019884,"Action, Adventure, Romance"
tt0019886,"Adventure, Drama, Romance"
tt0019889,"Crime, Drama"
tt0019901,"Comedy, Drama, Romance"
tt0019909,Drama
tt0019929,Comedy
tt0019933,"Comedy, Drama, Musical"
tt0019935,Drama
tt0019936,"Comedy, Musical"
tt0019939,Drama
tt0019945,"Action, Romance, Western"
tt0019946,"Drama, Musical, Romance"
tt0019949,"Drama, Mystery"
tt0019957,"Drama, Romance"
tt0019959,"Drama, Musical"
tt0019976,"Action, Crime, Drama"
tt0019979,Drama
tt0019983,"Crime, Drama, Romance"
tt0019992,"Drama, Mystery"
tt0019993,"Comedy, Music"
tt0020004,"Comedy, Crime, Drama"
tt0020011,Drama
tt0020014,Comedy
tt0020018,"Action, Adventure, Romance"
tt0020025,Drama
tt0020030,"Adventure, Drama, History"
tt0020034,"Comedy, Musical, Romance"
tt0020062,"Romance, Drama"
tt0020075,"Drama, Romance"
tt0020078,"Drama, Horror, Romance"
tt0020080,"Horror, Mystery, Thriller"
tt0020081,"Comedy, Drama"
tt0020092,Drama
tt0020099,Drama
tt0020103,"Drama, Mystery, Thriller"
tt0020112,"Comedy, Musical, Romance"
tt0020114,Comedy
tt0020122,"Drama, Romance"
tt0020126,Drama
tt0020142,"Drama, Romance"
tt0020143,"Drama, Musical, Romance"
tt0020144,Drama
tt0020163,"Comedy, Drama, Romance"
tt0020166,"Drama, Romance"
tt0020182,Adventure
tt0020193,Drama
tt0020197,Thriller
tt0020198,"Adventure, Romance, Sci-Fi"
tt0020210,"Comedy, Drama"
tt0020217,"Crime, Drama, Music"
tt0020223,"Drama, War"
tt0020228,Comedy
tt0020230,"Drama, History"
tt0020232,Drama
tt0020238,"Musical, Romance"
tt0020247,"Drama, Comedy"
tt0020253,Drama
tt0020269,"Drama, Crime"
tt0020286,"Adventure, Drama, Romance"
tt0020293,Drama
tt0020298,Drama
tt0020305,"Crime, Drama, Thriller"
tt0020320,"Western, Adventure, Drama"
tt0020332,"Adventure, Music, Romance"
tt0020335,"Drama, Romance"
tt0020336,"Comedy, Drama, Musical"
tt0020344,Drama
tt0020358,Musical
tt0020359,"Drama, Romance, Sport"
tt0020364,"Comedy, Romance"
tt0020388,"Comedy, Mystery, Thriller"
tt0020392,"Drama, Sport"
tt0020402,"Drama, Musical, Romance"
tt0020403,Musical
tt0020405,Drama
tt0020410,"Drama, Romance"
tt0020425,"Comedy, Drama, Romance"
tt0020431,Comedy
tt0020439,"Drama, Romance, Sport"
tt0020442,Comedy
tt0020446,"Drama, Music, Romance"
tt0020451,Drama
tt0020458,"Drama, Musical, Romance"
tt0020461,"Crime, Mystery"
tt0020466,"Comedy, Musical"
tt0020475,Drama
tt0020479,"Comedy, Romance"
tt0020480,"Comedy, Musical"
tt0020488,"Drama, Romance"
tt0020490,Comedy
tt0020492,"Drama, Mystery"
tt0020499,"Crime, Drama, Film-Noir"
tt0020502,Western
tt0020510,Drama
tt0020514,Drama
tt0020516,Drama
tt0020534,"Mystery, Thriller"
tt0020538,"Adventure, Drama, Romance"
tt0020542,"Comedy, Musical"
tt0020543,Drama
tt0020547,"History, War"
tt0020556,"Romance, Western"
tt0020563,Comedy
tt0020570,"Action, Adventure, Drama"
tt0020572,Comedy
tt0020581,"Drama, Romance"
tt0020585,"Comedy, Drama, Romance"
tt0020589,"Romance, Drama"
tt0020590,"Comedy, Drama"
tt0020608,Drama
tt0020613,Drama
tt0020620,"Biography, Drama, History"
tt0020629,"Drama, War"
tt0020640,"Comedy, Musical"
tt0020641,"Drama, Romance"
tt0020642,Drama
tt0020656,"Drama, Romance"
tt0020661,"Drama, Romance"
tt0020668,"Crime, Thriller, Horror"
tt0020670,"Comedy, Musical"
tt0020673,"Adventure, Romance, War"
tt0020679,"Crime, Mystery, Thriller"
tt0020686,"Crime, Drama, Thriller"
tt0020690,"Comedy, Music, Romance"
tt0020691,"Adventure, Western, Romance"
tt0020693,"Action, Biography, Drama"
tt0020695,"Drama, Mystery"
tt0020697,"Drama, Music"
tt0020701,Drama
tt0020702,"Crime, Drama, War"
tt0020713,"Drama, Musical, Romance"
tt0020724,"Musical, Romance"
tt0020740,"Adventure, Drama, Music"
tt0020754,Comedy
tt0020758,Comedy
tt0020763,"Comedy, Musical, Romance"
tt0020768,"Drama, Romance"
tt0020785,Mystery
tt0020793,"Crime, Drama"
tt0020799,"Comedy, Musical"
tt0020806,"Adventure, Drama"
tt0020814,Drama
tt0020815,"Action, Drama, War"
tt0020821,"Comedy, Romance"
tt0020823,"Drama, Romance"
tt0020827,"Romance, Drama"
tt0020828,"Comedy, Drama, Music"
tt0020836,"Crime, Drama"
tt0020838,"Comedy, Romance, War"
tt0020842,"Comedy, Musical, Romance"
tt0020852,"Comedy, Musical"
tt0020866,"Drama, Romance"
tt0020869,"Comedy, Crime, Drama"
tt0020873,"Comedy, Romance"
tt0020875,"Crime, Drama, Mystery"
tt0020876,"Adventure, Comedy, Romance"
tt0020890,"Comedy, Romance"
tt0020891,"Drama, Musical, Romance"
tt0020894,"Comedy, Musical, Romance"
tt0020896,"Crime, Drama, Romance"
tt0020900,"Action, Crime, Drama"
tt0020902,"Comedy, Musical"
tt0020919,"Comedy, Romance"
tt0020924,"Musical, Romance"
tt0020926,"Comedy, Drama, Music"
tt0020929,"Comedy, Musical"
